,LS8_g,LS8_r,LS8_z,W1,W2,W3,W4,log_FLUX,classification_flag,is_AGN
count,20056.0,20080.0,20077.0,20069.0,20083.0,16468.0,13160.0,20086.0,20086.0,20086
unique,,,,,,,,,,3
top,,,,,,,,,,Unknown
freq,,,,,,,,,,16971
mean,21.41562342079677,20.889846132046813,20.357243886487026,19.095027904429717,18.881761961957874,17.72213393358635,15.670298433624621,-13.754731300869704,1.2460420193169373,
std,1.736447269204275,1.6565571479920134,1.5203449539204148,1.2415129814275883,1.1638039427102735,1.333624003473732,1.3338170948792212,0.3137815759432092,0.4413334593387118,
min,9.050164,8.579333,10.319759,4.613042,8.724759,6.6020813,7.64825,-14.43307097849949,0.0,
25%,20.376101000000002,19.960410250000002,19.609076,18.480412,18.300494,16.9663085,14.8425645,-13.983508823827899,1.0,
50%,21.3854315,20.945127499999998,20.515177,19.222672,19.011372,17.6438505,15.5004645,-13.825401832781512,1.0,
75%,22.4717535,21.9147695,21.31511,19.874762,19.6201175,18.413525,16.31935925,-13.601112513442054,2.0,
max,29.515776,27.441202,26.829374,26.081497,24.369493,26.271141,25.330763,-11.20694192081836,2.0,
